topic_b,n_docs_b,dominant_source,dominant_pct,outlier_pct,category
11,118,11,10.2,0.8,mixed
14,38,11,23.7,0.0,mixed
20,37,11,10.8,8.1,mixed
38,36,30,8.3,2.8,mixed
13,36,18,8.3,0.0,mixed
37,36,11,16.7,0.0,mixed
2,31,12,6.5,0.0,mixed
26,29,24,10.3,0.0,mixed
25,29,13,6.9,3.4,mixed
10,29,38,6.9,3.4,mixed
34,29,11,13.8,3.4,mixed
24,28,11,10.7,0.0,mixed
39,28,21,10.7,3.6,mixed
28,28,15,10.7,0.0,mixed
4,28,12,10.7,3.6,mixed
3,26,11,19.2,0.0,mixed
19,26,8,11.5,3.8,mixed
33,26,11,23.1,0.0,mixed
15,26,4,11.5,0.0,mixed
16,26,11,19.2,0.0,mixed
9,26,11,15.4,7.7,mixed
7,26,11,11.5,0.0,mixed
6,26,19,7.7,7.7,mixed
36,25,11,20.0,0.0,mixed
5,25,32,12.0,0.0,mixed
27,25,24,12.0,4.0,mixed
35,24,35,12.5,8.3,mixed
31,24,0,8.3,4.2,mixed
0,24,21,12.5,8.3,mixed
8,24,24,16.7,0.0,mixed
40,24,21,8.3,4.2,mixed
32,23,11,17.4,0.0,mixed
21,23,4,13.0,0.0,mixed
17,23,11,17.4,0.0,mixed
23,22,11,27.3,0.0,mixed
22,22,11,13.6,9.1,mixed
12,22,17,13.6,4.5,mixed
18,21,34,14.3,0.0,mixed
29,20,16,10.0,0.0,mixed
1,20,10,10.0,5.0,mixed
30,16,16,12.5,6.2,mixed
