topic_b,n_docs_b,dominant_source,dominant_pct,outlier_pct,category
11,136,11,8.8,2.2,mixed
27,35,23,8.6,2.9,mixed
9,34,11,8.8,2.9,mixed
28,33,20,9.1,0.0,mixed
22,33,21,12.1,0.0,mixed
2,32,11,15.6,0.0,mixed
30,32,11,18.8,0.0,mixed
25,31,11,16.1,3.2,mixed
1,30,11,13.3,3.3,mixed
3,30,11,16.7,0.0,mixed
16,29,12,6.9,3.4,mixed
33,29,15,13.8,3.4,mixed
29,29,11,13.8,0.0,mixed
4,28,11,17.9,0.0,mixed
19,28,5,10.7,0.0,mixed
31,27,0,7.4,7.4,mixed
14,27,15,11.1,3.7,mixed
32,27,11,22.2,0.0,mixed
34,27,11,11.1,0.0,mixed
24,27,11,14.8,3.7,mixed
10,27,32,11.1,3.7,mixed
40,25,11,12.0,0.0,mixed
7,25,11,12.0,0.0,mixed
37,25,8,12.0,4.0,mixed
23,24,11,12.5,0.0,mixed
26,24,11,12.5,0.0,mixed
13,24,25,8.3,0.0,mixed
6,24,11,12.5,0.0,mixed
18,23,22,8.7,0.0,mixed
15,23,23,8.7,0.0,mixed
12,22,11,18.2,0.0,mixed
17,22,11,9.1,4.5,mixed
35,21,36,9.5,0.0,mixed
36,21,11,19.0,0.0,mixed
0,21,20,14.3,0.0,mixed
21,21,19,14.3,0.0,mixed
20,21,31,14.3,0.0,mixed
5,20,11,15.0,0.0,mixed
38,20,27,10.0,5.0,mixed
39,19,11,15.8,5.3,mixed
8,18,11,22.2,0.0,mixed
