topic_b,n_docs_b,dominant_source,dominant_pct,outlier_pct,category
11,134,11,16.4,1.5,mixed
20,41,21,7.3,0.0,mixed
32,35,19,8.6,2.9,mixed
3,34,5,8.8,0.0,mixed
4,33,10,12.1,0.0,mixed
31,32,11,12.5,3.1,mixed
22,32,20,12.5,0.0,mixed
15,32,9,9.4,3.1,mixed
34,31,13,9.7,6.5,mixed
35,30,11,10.0,3.3,mixed
25,30,11,20.0,0.0,mixed
5,30,37,13.3,0.0,mixed
18,29,6,13.8,3.4,mixed
16,28,4,10.7,0.0,mixed
14,28,20,10.7,7.1,mixed
23,27,11,14.8,0.0,mixed
19,27,28,14.8,0.0,mixed
13,27,2,11.1,7.4,mixed
12,27,11,18.5,3.7,mixed
21,26,20,15.4,0.0,mixed
26,26,40,7.7,0.0,mixed
39,25,11,12.0,0.0,mixed
1,25,14,12.0,0.0,mixed
2,25,22,12.0,0.0,mixed
28,25,26,12.0,0.0,mixed
6,24,0,8.3,8.3,mixed
9,24,11,16.7,4.2,mixed
37,24,9,8.3,4.2,mixed
29,24,32,12.5,4.2,mixed
8,24,11,20.8,0.0,mixed
33,23,13,17.4,0.0,mixed
0,23,11,17.4,4.3,mixed
17,23,35,8.7,0.0,mixed
40,23,11,8.7,0.0,mixed
10,22,27,13.6,4.5,mixed
7,21,21,9.5,0.0,mixed
24,20,11,15.0,5.0,mixed
36,19,11,10.5,0.0,mixed
30,18,0,11.1,0.0,mixed
38,16,36,12.5,0.0,mixed
27,15,31,13.3,6.7,mixed
