topic_a,n_total,n_changed,pct_changed,n_destinations,raw_entropy,norm_entropy,band
39,25,25,100.0,16,2.443,0.881,near_max
37,24,22,91.7,14,2.449,0.928,near_max
35,30,29,96.7,17,2.644,0.933,near_max
5,30,30,100.0,20,2.794,0.933,near_max
20,41,40,97.6,26,3.056,0.938,near_max
17,23,23,100.0,17,2.665,0.941,near_max
32,35,35,100.0,23,2.956,0.943,near_max
18,29,27,93.1,18,2.741,0.948,near_max
22,32,30,93.8,21,2.893,0.95,near_max
21,26,26,100.0,20,2.865,0.956,near_max
3,34,34,100.0,20,2.867,0.957,near_max
29,24,24,100.0,17,2.716,0.959,near_max
19,27,26,96.3,17,2.718,0.959,near_max
38,16,15,93.8,11,2.303,0.961,near_max
15,32,32,100.0,21,2.93,0.962,near_max
28,25,25,100.0,20,2.886,0.963,near_max
14,28,28,100.0,21,2.936,0.964,near_max
34,31,29,93.5,21,2.937,0.965,near_max
25,30,29,96.7,19,2.841,0.965,near_max
7,21,21,100.0,15,2.624,0.969,near_max
40,23,23,100.0,17,2.751,0.971,near_max
1,25,24,96.0,17,2.752,0.971,near_max
8,24,24,100.0,18,2.81,0.972,near_max
2,25,25,100.0,19,2.865,0.973,near_max
0,23,23,100.0,18,2.811,0.973,near_max
11,134,122,91.0,41,3.619,0.975,near_max
23,27,27,100.0,21,2.968,0.975,near_max
6,24,23,95.8,19,2.872,0.975,near_max
24,20,20,100.0,17,2.762,0.975,near_max
31,32,32,100.0,24,3.103,0.976,near_max
27,15,15,100.0,12,2.431,0.978,near_max
16,28,27,96.4,20,2.936,0.98,near_max
12,27,27,100.0,20,2.936,0.98,near_max
4,33,31,93.9,24,3.121,0.982,near_max
36,19,18,94.7,15,2.659,0.982,near_max
33,23,23,100.0,19,2.894,0.983,near_max
26,26,24,92.3,20,2.947,0.984,near_max
9,24,24,100.0,20,2.947,0.984,near_max
10,22,21,95.5,18,2.846,0.985,near_max
30,18,18,100.0,16,2.736,0.987,near_max
13,27,26,96.3,23,3.098,0.988,near_max
