topic_a,n_total,n_changed,pct_changed,n_destinations,raw_entropy,norm_entropy,band
24,27,26,96.3,16,2.501,0.902,near_max
14,27,27,100.0,19,2.689,0.913,near_max
40,25,25,100.0,14,2.477,0.939,near_max
10,27,26,96.3,18,2.715,0.939,near_max
16,29,27,93.1,16,2.609,0.941,near_max
33,29,28,96.6,16,2.611,0.942,near_max
9,34,32,94.1,23,2.956,0.943,near_max
25,31,31,100.0,17,2.685,0.948,near_max
34,27,27,100.0,21,2.895,0.951,near_max
22,33,32,97.0,20,2.853,0.953,near_max
28,33,33,100.0,23,2.992,0.954,near_max
17,22,21,95.5,16,2.648,0.955,near_max
37,25,23,92.0,17,2.714,0.958,near_max
27,35,35,100.0,21,2.931,0.963,near_max
0,21,21,100.0,17,2.731,0.964,near_max
6,24,24,100.0,16,2.672,0.964,near_max
11,136,118,86.8,37,3.49,0.967,near_max
31,27,27,100.0,19,2.846,0.967,near_max
15,23,20,87.0,14,2.554,0.968,near_max
29,29,28,96.6,21,2.948,0.968,near_max
1,30,30,100.0,21,2.95,0.969,near_max
36,21,20,95.2,15,2.623,0.969,near_max
39,19,19,100.0,15,2.625,0.969,near_max
21,21,20,95.2,15,2.623,0.969,near_max
18,23,22,95.7,16,2.689,0.97,near_max
30,32,32,100.0,22,3.0,0.97,near_max
5,20,20,100.0,16,2.692,0.971,near_max
7,25,23,92.0,15,2.631,0.971,near_max
26,24,23,95.8,19,2.872,0.975,near_max
2,32,31,96.9,24,3.104,0.977,near_max
12,22,20,90.9,15,2.649,0.978,near_max
38,20,19,95.0,17,2.771,0.978,near_max
35,21,21,100.0,16,2.714,0.979,near_max
19,28,27,96.4,23,3.071,0.979,near_max
20,21,20,95.2,18,2.831,0.979,near_max
13,24,24,100.0,19,2.889,0.981,near_max
4,28,28,100.0,21,2.986,0.981,near_max
3,30,28,93.3,21,2.986,0.981,near_max
8,18,18,100.0,15,2.659,0.982,near_max
32,27,27,100.0,22,3.039,0.983,near_max
23,24,24,100.0,22,3.063,0.991,near_max
