topic_a,n_total,n_changed,pct_changed,n_destinations,raw_entropy,norm_entropy,band
34,22,20,90.9,13,2.359,0.92,near_max
17,30,30,100.0,19,2.766,0.939,near_max
27,25,25,100.0,19,2.786,0.946,near_max
26,22,22,100.0,15,2.563,0.946,near_max
24,30,30,100.0,19,2.794,0.949,near_max
11,121,109,90.1,36,3.404,0.95,near_max
32,33,32,97.0,21,2.895,0.951,near_max
21,38,36,94.7,24,3.023,0.951,near_max
15,36,36,100.0,23,2.984,0.952,near_max
38,30,30,100.0,20,2.856,0.953,near_max
30,31,31,100.0,21,2.908,0.955,near_max
39,23,23,100.0,16,2.653,0.957,near_max
5,30,29,96.7,21,2.919,0.959,near_max
14,25,25,100.0,17,2.72,0.96,near_max
4,27,27,100.0,18,2.776,0.96,near_max
35,25,22,88.0,16,2.665,0.961,near_max
18,23,23,100.0,17,2.728,0.963,near_max
3,31,31,100.0,22,2.981,0.964,near_max
25,29,28,96.6,17,2.732,0.964,near_max
13,26,25,96.2,18,2.789,0.965,near_max
12,25,24,96.0,18,2.788,0.965,near_max
9,27,27,100.0,17,2.744,0.968,near_max
29,20,19,95.0,15,2.625,0.969,near_max
33,22,21,95.5,14,2.558,0.969,near_max
31,31,31,100.0,22,2.998,0.97,near_max
20,23,22,95.7,15,2.626,0.97,near_max
16,25,24,96.0,17,2.752,0.971,near_max
10,25,25,100.0,18,2.81,0.972,near_max
0,25,25,100.0,19,2.865,0.973,near_max
8,27,26,96.3,17,2.758,0.973,near_max
23,25,24,96.0,19,2.867,0.974,near_max
36,34,33,97.1,23,3.061,0.976,near_max
19,30,28,93.3,23,3.066,0.978,near_max
1,25,25,100.0,21,2.976,0.978,near_max
28,22,22,100.0,17,2.776,0.98,near_max
22,18,17,94.4,14,2.589,0.981,near_max
6,27,26,96.3,20,2.938,0.981,near_max
40,22,21,95.5,17,2.78,0.981,near_max
7,22,22,100.0,18,2.839,0.982,near_max
2,19,18,94.7,15,2.659,0.982,near_max
37,22,22,100.0,19,2.902,0.986,near_max
